,election,cycle,fecyear,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,title,suffix,party,state,seat,district,distcyc,ico.status,cand.gender,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,dwdime,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,irt.cfscore,num.givers,num.givers.total,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,ind.exp.support,ind.exp.oppose,prim.vote.pct,pwinner,gen.vote.pct,gwinner,s.elec.stat,r.elec.stat,district.pres.vs,fec.cand.status,recipient.type,igcat,comtype,ICPSR,ICPSR2,Cand.ID,FEC.ID,NID,before.switch.ICPSR,after.switch.ICPSR,party.orig,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status
66749,fd2022,2022,2022.0,comm69042504,,friends of nj39,,,,,,,328,NJ,federal:527,,,,,0.187,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,comm,,,527o:8532063512004,527o:853206351,527o:853206351,527o:853206351,,,,,,,,,
66750,fd2022,2022,2022.0,comm69042189,,progressive takeover,,,,,,,328,IL,federal:527,,,,,-1.405,-1.417,,,,,,,,7,45,,,,,,,,,,,,,,,,,,comm,,,527o:8231414242010,527o:823141424,527o:823141424,527o:823141424,,,,,,,,,
66751,fd2022,2022,2022.0,comm69042466,,north dakota petroleum council inc federal pac,,,,,,,328,ND,federal:527,,,,,1.32,1.338,,,,,,,,5,26,,,,,,,,,,,,,,,,,,comm,,,527o:8509739622008,527o:850973962,527o:850973962,527o:850973962,,,,,,,,,
66752,fd2022,2022,2022.0,comm69042397,,marquette pac,,,,,,,328,KY,federal:527,,,,,1.32,1.32,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8429314692004,527o:842931469,527o:842931469,527o:842931469,,,,,,,,,
66753,fd2022,2022,2022.0,comm69042153,,"east rising, inc.",,,,,,,328,NC,federal:527,,,,,0.484,-0.41,,,,,,,,3,30,,,,,,,,,,,,,,,,,,comm,,,527o:8218760962010,527o:821876096,527o:821876096,527o:821876096,,,,,,,,,
66754,fd2022,2022,2022.0,comm69042095,,columbiana county young democrats,,,,,,,328,OH,federal:527,,,,,-1.593,-1.593,,,,,,,,4,4,,,,,,,,,,,,,,,,,,comm,,,527o:3526943652012,527o:352694365,527o:352694365,527o:352694365,,,,,,,,,
66755,fd2022,2022,2022.0,comm69042470,,elect republicans,,,,,,,328,MO,federal:527,,,,,1.447,1.46,,,,,,,,55,118,,,,,,,,,,,,,,,,,,comm,,,527o:8511971392016,527o:851197139,527o:851197139,527o:851197139,,,,,,,,,
66756,fd2022,2022,2022.0,comm69042524,,steven b grant campaign committee inc,,,,,,,328,FL,federal:527,,,,,-0.119,-0.119,,,,,,,,8,8,,,,,,,,,,,,,,,,,,comm,,,527o:8615172402004,527o:861517240,527o:861517240,527o:861517240,,,,,,,,,
66757,fd2022,2022,2022.0,comm69042520,,united firefighters support committee,,,,,,,328,,federal:527,,,,,0.66,0.66,,,,,,,,17,17,,,,,,,,,,,,,,,,,,comm,,,527o:8613866832020,527o:861386683,527o:861386683,527o:861386683,,,,,,,,,
66758,fd2022,2022,2022.0,comm69042465,,oakland strong,,,,,,,328,MI,federal:527,,,,,-0.287,,,,,,,,,1,18,,,,,,,,,,,,,,,,,,comm,,,527o:8509338162014,527o:850933816,527o:850933816,527o:850933816,,,,,,,,,
66759,fd2022,2022,2022.0,comm69042542,,equal rights for all political action committee,,,,,,,328,CA,federal:527,,,,,0.648,0.648,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8629826112018,527o:862982611,527o:862982611,527o:862982611,,,,,,,,,
66760,fd2022,2022,2022.0,comm69042078,,"greater johnstown regional pac, inc.",,,,,,,328,PA,federal:527,,,,,0.137,0.141,,,,,,,,7,8,,,,,,,,,,,,,,,,,,comm,,,527o:2518829672018,527o:251882967,527o:251882967,527o:251882967,,,,,,,,,
66761,fd2022,2022,2022.0,comm69042239,,calvert county democratic womens club,,,,,,,328,MD,federal:527,,,,,-1.031,-0.957,,,,,,,,2,28,,,,,,,,,,,,,,,,,,comm,,,527o:8244740962010,527o:824474096,527o:824474096,527o:824474096,,,,,,,,,
66762,fd2022,2022,2022.0,comm69042559,,"west virginians for life, inc.-pac",,,,,,,328,,federal:527,,,,,1.261,1.211,,,,,,,,9,28,,,,,,,,,,,,,,,,,,comm,,,527o:9120808352004,527o:912080835,527o:912080835,527o:912080835,,,,,,,,,
66763,fd2022,2022,2022.0,comm69042458,,wv can't wait action committee,,,,,,,328,WV,federal:527,,,,,-1.452,-1.386,,,,,,,,18,68,,,,,,,,,,,,,,,,,,comm,,,527o:8451272492006,527o:845127249,527o:845127249,527o:845127249,,,,,,,,,
66764,fd2022,2022,2022.0,comm69042111,,d.c. legal,,,,,,,328,,federal:527,,,,,-1.024,-1.023,,,,,,,,72,105,,,,,,,,,,,,,,,,,,comm,,,527o:5219142172002,527o:521914217,527o:521914217,527o:521914217,,,,,,,,,
66765,fd2022,2022,2022.0,comm69042532,,nicholas for abq,,,,,,,328,NM,federal:527,,,,,-1.789,-1.789,,,,,,,,19,19,,,,,,,,,,,,,,,,,,comm,,,527o:8623975452004,527o:862397545,527o:862397545,527o:862397545,,,,,,,,,
66766,fd2022,2022,2022.0,comm69042423,,american alliance for military veterans,,,,,,,328,VA,federal:527,,,,,0.684,0.622,,,,,,,,20,29,,,,,,,,,,,,,,,,,,comm,,,527o:8437636062020,527o:843763606,527o:843763606,527o:843763606,,,,,,,,,
66767,fd2022,2022,2022.0,comm69042164,,"american veterans honor fund, inc.",,,,,,,328,VA,federal:527,,,,,0.599,0.605,,,,,,,,114,436,,,,,,,,,,,,,,,,,,comm,,,527o:8223150092018,527o:822315009,527o:822315009,527o:822315009,,,,,,,,,
66768,fd2022,2022,2022.0,comm69042310,,united police fund,,,,,,,328,VA,federal:527,,,,,0.807,0.612,,,,,,,,77,305,,,,,,,,,,,,,,,,,,comm,,,527o:8316169142020,527o:831616914,527o:831616914,527o:831616914,,,,,,,,,
66769,fd2022,2022,2022.0,comm69042405,,committee for police officers defense,,,,,,,328,VA,federal:527,,,,,0.855,0.746,,,,,,,,135,259,,,,,,,,,,,,,,,,,,comm,,,527o:8431532712020,527o:843153271,527o:843153271,527o:843153271,,,,,,,,,
66770,fd2022,2022,2022.0,comm69042122,,american solidarity party of ohio llc,,,,,,,328,OH,federal:527,,,,,-0.167,,,,,,,,,2,21,,,,,,,,,,,,,,,,,,comm,,,527o:8143061532008,527o:814306153,527o:814306153,527o:814306153,,,,,,,,,
66771,fd2022,2022,2022.0,comm69042131,,"national police support fund, inc",,,,,,,328,WI,federal:527,,,,,0.756,0.981,,,,,,,,135,757,,,,,,,,,,,,,,,,,,comm,,,527o:8152145522002,527o:815214552,527o:815214552,527o:815214552,,,,,,,,,
66772,fd2022,2022,2022.0,comm69042462,,blacks for political and social action of dane county,,,,,,,328,WI,federal:527,,,,,-0.978,-0.978,,,,,,,,10,10,,,,,,,,,,,,,,,,,,comm,,,527o:8505360702004,527o:850536070,527o:850536070,527o:850536070,,,,,,,,,
66773,fd2022,2022,2022.0,comm69042547,,jd leathers for congress,,,,,,,328,MO,federal:527,,,,,-1.52,-1.52,,,,,,,,20,20,,,,,,,,,,,,,,,,,,comm,,,527o:8638562862006,527o:863856286,527o:863856286,527o:863856286,,,,,,,,,
66774,fd2022,2022,2022.0,comm69042544,,odonnell for vista city council 2022,,,,,,,328,CA,federal:527,,,,,-1.262,-1.262,,,,,,,,25,25,,,,,,,,,,,,,,,,,,comm,,,527o:8634760472006,527o:863476047,527o:863476047,527o:863476047,,,,,,,,,
66775,fd2022,2022,2022.0,comm69042541,,alex for tumwater,,,,,,,328,WA,federal:527,,,,,-1.504,-1.504,,,,,,,,10,10,,,,,,,,,,,,,,,,,,comm,,,527o:8629224702004,527o:862922470,527o:862922470,527o:862922470,,,,,,,,,
66776,fd2022,2022,2022.0,comm69042505,,jobs & opportunities fund,,,,,,,328,MI,federal:527,,,,,1.314,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,comm,,,527o:8533032192002,527o:853303219,527o:853303219,527o:853303219,,,,,,,,,
66777,fd2022,2022,2022.0,comm69042548,,jon chuba for congress,,,,,,,328,FL,federal:527,,,,,1.466,1.466,,,,,,,,4,4,,,,,,,,,,,,,,,,,,comm,,,527o:8639310382010,527o:863931038,527o:863931038,527o:863931038,,,,,,,,,
66778,fd2022,2022,2022.0,comm69042442,,kentucky night at the southern legislative conference inc,,,,,,,328,KY,federal:527,,,,,0.553,0.552,,,,,,,,124,124,,,,,,,,,,,,,,,,,,comm,,,527o:8446183032008,527o:844618303,527o:844618303,527o:844618303,,,,,,,,,
66779,fd2022,2022,2022.0,comm69042083,,touchstone political action committee,,,,,,,328,TX,federal:527,,,,,1.007,0.959,,,,,,,,10,20,,,,,,,,,,,,,,,,,,comm,,,527o:2711750932008,527o:271175093,527o:271175093,527o:271175093,,,,,,,,,
66780,fd2022,2022,2022.0,comm69042443,,kentucky night at alec inc,,,,,,,328,KY,federal:527,,,,,0.68,0.68,,,,,,,,39,39,,,,,,,,,,,,,,,,,,comm,,,527o:8446185832002,527o:844618583,527o:844618583,527o:844618583,,,,,,,,,
66781,fd2022,2022,2022.0,comm69042120,,one vote at a time nonfederal,,,,,,,328,CA,federal:527,,,,,-1.143,,,,,,,,,1,93,,,,,,,,,,,,,,,,,,comm,,,527o:8140177032008,527o:814017703,527o:814017703,527o:814017703,,,,,,,,,
66782,fd2022,2022,2022.0,comm69042523,,citizens for alyssa mueller,,,,,,,328,WI,federal:527,,,,,-1.455,-1.455,,,,,,,,29,29,,,,,,,,,,,,,,,,,,comm,,,527o:8614924252010,527o:861492425,527o:861492425,527o:861492425,,,,,,,,,
66783,fd2022,2022,2022.0,comm69042114,,libertarian party of georgia,,,,,,,328,GA,federal:527,,,,,1.063,0.927,,,,,,,,7,109,,,,,,,,,,,,,,,,,,comm,,,527o:5815833922006,527o:581583392,527o:581583392,527o:581583392,,,,,,,,,
66784,fd2022,2022,2022.0,comm69042494,,the democratic senate action committee,,,,,,,328,,federal:527,,,,,-1.426,-1.488,,,,,,,,3,63,,,,,,,,,,,,,,,,,,comm,,,527o:8527501042012,527o:852750104,527o:852750104,527o:852750104,,,,,,,,,
66785,fd2022,2022,2022.0,comm69042272,,vote forward,,,,,,,328,CA,federal:527,,,,,-1.364,-1.325,,,,,,,,1,55,,,,,,,,,,,,,,,,,,comm,,,527o:8252638112006,527o:825263811,527o:825263811,527o:825263811,,,,,,,,,
66786,fd2022,2022,2022.0,comm69042139,,republican women of central iowa,,,,,,,328,IA,federal:527,,,,,1.496,1.496,,,,,,,,4,8,,,,,,,,,,,,,,,,,,comm,,,527o:8210022162006,527o:821002216,527o:821002216,527o:821002216,,,,,,,,,
66787,fd2022,2022,2022.0,comm69042436,,indivisible chicago alliance political action committee,,,,,,,328,IL,federal:527,,,,,-1.368,-1.394,,,,,,,,2,7,,,,,,,,,,,,,,,,,,comm,,,527o:8444827052006,527o:844482705,527o:844482705,527o:844482705,,,,,,,,,
66788,fd2022,2022,2022.0,comm69042483,,vladart political network or vpn / vladimy joseph for congress,,,,,,,328,NY,federal:527,,,,,-1.52,-1.52,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8519105202008,527o:851910520,527o:851910520,527o:851910520,,,,,,,,,
66789,fd2022,2022,2022.0,comm69042488,,american veterans for the home front,,,,,,,328,MI,federal:527,,,,,2.135,2.198,,,,,,,,1,2,,,,,,,,,,,,,,,,,,comm,,,527o:8522540802010,527o:852254080,527o:852254080,527o:852254080,,,,,,,,,
66790,fd2022,2022,2022.0,comm69042517,,ocean state green party,,,,,,,328,RI,federal:527,,,,,-1.362,-1.362,,,,,,,,7,7,,,,,,,,,,,,,,,,,,comm,,,527o:8612009102008,527o:861200910,527o:861200910,527o:861200910,,,,,,,,,
66791,fd2022,2022,2022.0,comm69042450,,humanity first for illinois,,,,,,,328,IL,federal:527,,,,,-1.546,-1.775,,,,,,,,4,11,,,,,,,,,,,,,,,,,,comm,,,527o:8448646912008,527o:844864691,527o:844864691,527o:844864691,,,,,,,,,
